if,removed,added
LYSt2r AND LYSt3r,LYSt3r,LYSt3
FDHr,FDHr,FDH
GLYO1,GLYO1,GLYO1i
EAR40xr,EAR40xr,EAR40x
PROt2r AND PROt4r,PROt4r,PROt4
FOROXAtex AND FORt,FORt,
NO2t2r AND NTRIR5,NO2t2r,NO2t2
NOr1mq AND NHFRBOr,NHFRBOr,NHFRBO
NIR AND L_LACDr,L_LACDr,L_LACD
PIt6b AND PIt7,PIt7,PIt7ir
ABUTt2r AND GLUABUTt7,ABUTt2r,ABUTt2
ABUTt2r AND ABTAr,ABTAr,ABTA
Kt1r AND Kt3r,Kt3r,Kt3
CYTDt4 AND CYTDt2r,CYTDt2r,CYTDt2
ASPt2_2 AND ASPt2r,ASPt2r,ASPte
ASPt2_3 AND ASPt2r,ASPt2r,ASPt2
FUMt2_2 AND FUMt2r,FUMt2r,FUMt
SUCCt2_2 AND SUCCt2r,SUCCt2r,SUCCt
SUCCt2_3r AND SUCCt2r,SUCCt2r,
MALFADO AND MDH,MALFADO,MALFADOi
MALFADO AND GLXS,MALFADO,MALFADOi
r0392 AND GLXCL,r0392,ALDD8x
HACD1 AND PHPB2,PHPB2,PHPB2i
PPCKr AND PPCr,PPCKr,PPCK
PPCKr AND GLFRDO AND FXXRDO,PPCKr,PPCK
BTCOADH AND FDNADOX_H AND ACOAD1,ACOAD1,ACOAD1i
ACKr AND ACEDIPIT AND APAT AND DAPDA AND 26DAPLLAT,26DAPLLAT,26DAPLLATi
ACKr AND ACEDIPIT AND APAT AND DAPDA,DAPDA,DAPDAi
MALNAt AND NAt3_1 AND MALt2r,NAt3_1,NAt3
MALNAt AND NAt3_1 AND MALt2r,MALt2r,MALt2
MALNAt AND NAt3_1 AND MALt2r AND URIt2r AND URIt4,URIt2r,URIt2
DADNt2r AND HYXNt,HYXNt,HYXNti
URIt2r AND URAt2r,URAt2r,URAt2
XANt2r AND URAt2r,URAt2r,URAt2
XANt2r AND CSNt6,CSNt6,CSNt2
XANt2r AND DADNt2r,XANt2r,XANt2
XANt2r AND XPPTr,XPPTr,XPPT
XANt2r AND PUNP7,XANt2r,XANt2
r1667 AND ARGt2r,ARGt2r,ARGt2
GLUt2r AND NAt3_1 AND GLUt4r,GLUt4r,r1144
GLYt2r AND NAt3_1 AND GLYt4r,GLYt2r,GLYt2
MALNAt AND L_LACNa1t AND L_LACt2r,L_LACt2r,L_LACt2
G3PD8 AND SUCD4 AND G3PD1,G3PD8,G3PD8i
ACOAD1 AND ACOAD1f AND SUCD4,ACOAD1f,ACOAD1fi
PGK AND D_GLY3PR,D_GLY3PR,D_GLY3PRi
r0010 AND H2O2D,H2O2D,NPR
ACCOACL AND BTNCL,BTNCL,BTNCLi
r0220 AND r0318,r0318,r0318i
MTHFRfdx AND FDNADOX_H,FDNADOX_H,
FDNADOX_H AND FDX_NAD_NADP_OX,FDX_NAD_NADP_OX,FDX_NAD_NADP_OXi
r1088,r1088,CITt2
NACUP AND NACt2r,NACUP,
NCAMUP AND NCAMt2r,NCAMUP,
ORNt AND ORNt2r,ORNt,
FORt AND FORt2r,FORt,
ARABt AND ARABDt2,ARABt,
ASPte AND ASPt2_2,ASPte,
ASPte AND ASPt2_3,ASPte,
ASPt2 AND ASPt2_2,ASPt2,
ASPt2 AND ASPt2_3,ASPt2,
THYMDt AND THMDt2r,THYMDt,
CBMK AND CBMKr,CBMKr,
SPTc AND TRPS2r AND TRPAS2,TRPS2r,TRPS2
PROD3 AND PROD3i,PROD3,
PROPAT4te AND PROt2r AND PROt2,PROt2r,
CITt10i AND CITCAt AND CITCAti,CITCAt,
GUAt2r AND GUAt,GUAt2r,GUAt2
PROPAT4te AND PROt4r AND PROt4,PROt4r,
INSt2 AND INSt,INSt2,INSt2i
GNOXuq AND GNOXuqi,GNOXuq,
GNOXmq AND GNOXmqi,GNOXmq,
RBPC AND PRKIN,PRKIN,PRKINi
PGK AND G1PP AND G16BPS AND G1PPT,G16BPS,G16BPSi
FRD7 AND SUCD1 AND G3PD8,G3PD8,G3PD8i
PROPAT4te AND PROt2r,PROt2r,PROt2
LACLi AND PPCr AND RPE AND PKL AND FTHFL AND MTHFC,MTHFC,MTHFCi
RMNt2 AND RMNt2_1,RMNt2_1,
MNLpts AND MANAD_D AND MNLt6,MNLt6,MNLt6i
FDNADOX_H AND SULRi AND FXXRDO,FXXRDO,FXXRDOi
FDNADOX_H AND AKGS AND BTCOADH AND OOR2r,OOR2r,OOR2
FDNADOX_H AND AKGS AND BTCOADH AND OOR2 AND POR4,POR4,POR4i
FDNADOX_H AND AKGS AND OAASr AND ICDHx AND POR4i,ICDHx,ICDHxi
FDNADOX_H AND AKGS AND OAASr AND ICDHx AND POR4,ICDHx,ICDHxi
GLXS AND GCALDL AND GCALDDr,GCALDDr,GCALDD
GLYCLTDxr AND GLYCLTDx,GLYCLTDxr,
GCALDD AND GCALDDr,GCALDDr,
BGLA AND BGLAr,BGLAr,
AKGMAL AND MALNAt AND AKGt2r,AKGt2r,AKGt2
TRPS1 AND TRPS2r AND TRPS3r,TRPS2r,TRPS2
OAACL AND OAACLi,OAACL,
DHDPRy AND DHDPRyr,DHDPRyr,
EDA_R AND EDA,EDA_R,
GLYC3Pt AND GLYC3Pti,GLYC3Pt,
FA180ACPHrev AND STCOATA AND FACOAL180,FACOAL180,FACOAL180i
CITt2 AND CAt4i AND CITCAt,CITCAt,CITCAti
CITt2pp AND CAt4i AND CITCAt,CITCAt,CITCAti
AHCYSNS_r AND AHCYSNS,AHCYSNS_r,
FDOXR AND GLFRDO AND OOR2r AND FRDOr,FRDOr,FRDO
GNOX AND GNOXy AND GNOXuq AND GNOXmq,GNOXmq,GNOXmqi
GNOX AND GNOXy AND GNOXuq AND GNOXmqi,GNOXuq,GNOXuqi
SHSL1r AND SHSL2 AND SHSL4r,SHSL4r,SHSL4
AHSERL3 AND CYSS3r AND METSOXR1r AND SHSL4r,TRDRr,TRDR
ACACT1r AND ACACt2 AND ACACCTr AND OCOAT1r,OCOAT1r,OCOAT1
ACONT AND ACONTa AND ACONTb,ACONT,
ALAt2r AND ALAt4r,ALAt2r,ALAt2
CYTK2 AND DCMPDA AND URIDK3,DCMPDA,DCMPDAi
MALNAt AND NAt3_1 AND PIt7ir,NAt3_1,NAt3
PIt6b AND PIt7ir,PIt6b,PIt6bi
LEUTA AND LLEUDr,LLEUDr,LLEUD
ILETA AND L_ILE3MR,L_ILE3MR,L_ILE3MRi
TRSARry AND TRSARr,TRSARr,TRSAR
THRD AND THRAr AND PYRDC,THRAr,THRAi
THRD AND GLYAT AND PYRDC,GLYAT,GLYATi
SUCD1 AND SUCD4 AND SUCDimq AND NADH6,SUCD1,SUCD1i
POR4 AND SUCDimq AND NADH6 AND PDHa AND FRD7 AND FDOXR AND NTRIR4,POR4,POR4i
SUCDimq AND NADH6 AND HYD1 AND HYD4 AND FRD7 AND FDOXR AND NTRIR4,FDOXR,FDOXRi
PPCr AND SUCOAS AND OAASr AND ICDHx AND POR4i AND ACONTa AND ACONTb AND ACACT1r AND 3BTCOAI AND OOR2r,ICDHx,ICDHxi
PYNP1r AND CSNt6,PYNP1r,PYNP1
ASPK AND ASAD AND HSDy,ASPK,ASPKi
GLUt2r AND GLUABUTt7 AND ABTAr,GLUt2r,GLUt2
DURAD AND DHPM1 AND UPPN,DURAD,DURADi
XU5PG3PL AND PKL,PKL,
G16BPS AND G1PPT AND PGK AND GAPD_NADP AND GAPD,G16BPS,G16BPSi
G1PPT AND PGK AND GAPD_NADP AND GAPD,G1PPT,G1PPTi
PPIt2e AND GUAPRT AND AACPS6 AND GALT,PPIt2e,PPIte
PPIt2e AND GLGC AND NADS2 AND SADT,PPIt2e,PPIte
MCOATA AND MALCOAPYRCT AND C180SNrev,MCOATA,MACPMT
PPCr AND MALCOAPYRCT AND MMSAD5 AND MSAS,PPCr,PPC
PPCr AND PYK AND ACTLDCCL AND HEDCHL AND OAAKEISO,PPCr,PPC
PPCr AND NDPK9 AND OAACL,PPCr,PPC
PPCr AND PYK AND ACPACT AND TDCOATA AND MCOATA AND HACD6,PPCr,PPC
ACt2r AND ACtr,ACtr,
LEUt2r AND LEUtec,LEUtec,
PTRCt2r AND PTRCtex2,PTRCtex2,
TYRt2r AND TYRt,TYRt,
OCBT AND CITRH AND CBMKr,CBMKr,CBMK
TSULt2 AND SO3t AND H2St AND TRDRr,TRDRr,TRDR
AMPSO3OX AND SADT AND EX_h2s(e) AND CHOLSH,AMPSO3OX,AMPSO3OXi
GALt2_2 AND GALt1r,GALt2_2,GALt2_2i
HISCAT1 AND HISt2r,HISt2r,HISt2
LDH_L AND L_LACDr,L_LACDr,L_LACD
ALAPAT4te AND ALAt4r,ALAt4r,ALAt4
UCO2L AND BUAMDH AND BURTADH AND H2CO3D,UCO2L,UCO2Li
r1106 AND RIBFLVt2r,RIBFLVt2r,RIBFLVt2
FDOXR AND NADH7 AND NTRIR4,FDOXR,FDOXRi
NADH6 AND SNG3POR AND G3PD2,SNG3POR,G3PD5
PPCOAOc AND NADH6 AND ACOAR,PPCOAOc,PPCOAOci
PGK AND G1PP AND G16BPS AND G1PPTi,G16BPS,G16BPSi
FACOAL140 AND FA140ACPH,FACOAL140,FACOAL140i
R5PAT AND PRPPS AND NADN AND NAPRT,R5PAT,R5PATi
R5PAT AND ADPRDPTS AND PPM,R5PAT,R5PATi
MCCCr AND HMGCOAS AND MGCOAH AND ACOAD8 AND ACACT1r,MCCCr,MCCC
FRUpts AND FRUt2r,FRUt2r,FRUt1r
ALAPAT4te AND ALAt2r,ALAt2r,ALAt2
ALAPAT4te AND ALAt2r,ALAt2r,ALAt2
r2526 AND SERt2r,SERt2r,r2471
PGMT AND G16BPS AND G1PPTi,G16BPS,G16BPSi
ILEt2r AND ILEtec,ILEt2r,ILEt2
VALt2r AND VALtec,VALt2r,VALt2
SUCCt AND SUCCt2r,SUCCt,
DHLPHEOR AND DHPHEOGAT,DHLPHEOR,DHLPHEORi
SNG3POR AND OOR2r AND FUM AND POR4 AND HPYRI,SNG3POR,G3PD5
NTMAOR AND SUCDimq AND FRD7 AND NADH6,NTMAOR,NTMAORi
PIt6bi AND PIt7,PIt7,PIt7ir
THMt3 AND THMte,THMt3,THMt3i
PROPAT4te AND PROt4r,PROt4r,PROt4
GLUOR AND GALM1r AND NADH6,GLUOR,GLUORi
PGK AND G1PP AND G16BPS AND G1PPT,G1PP,G1PPi
FDOXR AND FDNADOX_H,FDOXR,FDOXRi
FRDOr AND HYD1 AND HYD4,FRDOr,FRDO
ASP4DC AND PYK AND PPCr,ASP4DC,ASP4DCi
NZP_NRe AND NZP_NR,NZP_NRe,NZP_NRei
NFORGLUAH AND 5MTHFGLUNFT AND FOMETR,NFORGLUAH,NFORGLUAHi
FDOXR AND POR4 AND FDH2,FDOXR,FDOXRi
ACGApts AND ACGAMtr2,ACGAMtr2,ACGAMt2
FDNADOX_H AND KLEURFd AND OIVD1r,OIVD1r,OIVD1
CITCAt AND CAt4i AND CITt13,CITCAt,CITCAti
4ABZt2r AND 4ABZt,4ABZt2r,4ABZt2
FUMt2r AND FUMt,FUMt2r,FUMt2
TARCGLYL AND TARTD AND PYRCT,TARCGLYL,TARCGLYLi
SULR AND SO3rDmq AND SUCDimq,SULR,SULRi
CITt15 AND ZN2t4 AND Kt1r AND CITt2,CITt15,CITt15i
FRDO AND FDNADOX_H AND GLFRDO,GLFRDO,GLFRDOi
THMDt2r AND THYMDtr2,THMDt2r,THMDt2
HXANt2r AND HYXNt,HXANt2r,HXANt2
ETOHt2r AND ETOHt,ETOHt2r,ETOHt2
GSNt2r AND GSNt,GSNt2r,GSNt2
FUCt2_1 AND FUCtp,FUCt2_1,FUCt2_1i
GALt4 AND GALt1r,GALt4,GALt4i
PHEt2r AND PHEtec,PHEt2r,PHEt2
ACOAD2f AND ACOAD2 AND NADH6,ACOAD2f,ACOAD2fi
THSr1mq AND TSULt2 AND H2St AND SO3t AND TSULST AND GTHRD AND SUCDimq,TSULt2,TSULt2i
PPCKr AND MALFADO AND ACKr AND PPDK AND PPIACPT,MALFADO,MALFADOi
AKGte AND AKGt2r,AKGt2r,AKGt2
5ASAp AND 5ASAt2r,5ASAt2r,5ASAt2
MAL_Lte AND MALt2r,MALt2r,MALt2
MAL_Lte AND GLUt2r AND MALNAt AND GLUt4r,MALNAt,MALt4
AKGMAL AND MALNAt AND AKGte,MALNAt,MALt4
r0792 AND 5MTHFOX AND FDNADOX_H AND MTHFD2 AND MTHFD,r0792,MTHFR2rev
H2O2D AND CYTBD AND r0010,H2O2D,NPR
PROD3 AND NADH6 AND HPROxr,PROD3,PROD3i
GLFRDO AND GLFRDOi,GLFRDO,
DGOR AND SBTD_D2 AND GALM1r AND GNOXmq,DGOR,DGORi
DGORi AND SBTD_D2 AND GALM1r AND GNOXmq,GNOXmq,GNOXmqi
DGORi AND SBTD_D2 AND GALM1r AND GNOXuq,GNOXuq,GNOXuqi
LPCDH AND LPCOX AND NADH6pp AND ATPS4pp,LPCDH,LPCDHi
CITt2pp AND CITCAtpp AND CAt4ipp,CITCAt,CITCAti
